     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3936500 2463500  1  3 20  -6.4  993 124  4.9 0  1.6  67    0    0 185 -269  2
3936500 2463500  1  3 21  -7.2  994 113  5.3 0  1.5  67    0    0 184 -268  2
3936500 2463500  1  3 22  -7.3  994 124  6.0 0  1.5  66    0    0 182 -267  2
3936500 2463500  1  3 23  -7.6  994 119  5.6 0  1.4  63    0    0 182 -266  2
3936500 2463500  1  3 24  -7.8  994 121  5.3 2  1.3  61    0    0 185 -266  2
3936500 2463500  1  4  1  -7.9  994 131  5.2 5  1.3  59    0    0 196 -264  2
3936500 2463500  1  4  2  -8.2  994  97  4.7 4  1.3  60    0    0 200 -263  2
3936500 2463500  1  4  3  -8.8  994 121  4.0 2  1.3  62    0    0 193 -262  2
3936500 2463500  1  4  4  -8.8  994 104  3.4 1  1.2  62    0    0 186 -261  2
3936500 2463500  1  4  5  -9.6  994  97  3.8 0  1.2  62    0    0 181 -261  2
3936500 2463500  1  4  6 -10.6  994  32  2.8 0  1.2  66    0    0 177 -261  2
3936500 2463500  1  4  7 -10.5  994 335  3.2 0  1.2  70    0    0 176 -261  2
3936500 2463500  1  4  8 -11.0  994 315  2.8 0  1.2  70    0    0 177 -262  2
3936500 2463500  1  4  9 -11.1  994  65  3.2 0  1.2  71    5   10 176 -262  2
3936500 2463500  1  4 10  -9.8  995  73  3.0 0  1.2  72   99   22 177 -263  2
3936500 2463500  1  4 11  -7.3  997 124  3.1 1  1.4  68  188   38 184 -267  2
3936500 2463500  1  4 12  -6.2  996 140  3.8 1  1.5  63  203   63 191 -272  2
3936500 2463500  1  4 13  -5.4  996 139  3.8 0  1.5  60  254   52 190 -277  2
3936500 2463500  1  4 14  -4.5  995 116  3.5 0  1.5  57  197   67 189 -280  2
3936500 2463500  1  4 15  -4.0  995 113  3.1 0  1.5  54  184   37 190 -281  2
3936500 2463500  1  4 16  -4.6  995  98  2.6 0  1.5  55   82   34 191 -279  2
3936500 2463500  1  4 17  -5.9  995 119  2.4 0  1.5  58    2   11 190 -276  2
3936500 2463500  1  4 18  -6.2  996 174  2.1 0  1.5  60    0    0 189 -273  2
3936500 2463500  1  4 19  -7.5  996 128  1.5 0  1.5  65    0    0 188 -272  2
3936500 2463500  1  4 20  -8.8  997 141  2.1 0  1.5  74    0    0 186 -272  2
3936500 2463500  1  4 21  -8.8  997  36  1.6 0  1.6  79    0    0 185 -270  2
3936500 2463500  1  4 22  -9.4  998 178  0.9 0  1.6  81    0    0 184 -267  2
3936500 2463500  1  4 23 -10.4  997 139  0.9 0  1.6  86    0    0 182 -266  2
3936500 2463500  1  4 24 -11.1  997 143  1.2 0  1.5  89    0    0 180 -266  2
3936500 2463500  1  5  1 -10.6  997 199  1.1 0  1.5  87    0    0 180 -266  2
3936500 2463500  1  5  2 -10.8  997 156  0.8 0  1.4  85    0    0 179 -264  2
3936500 2463500  1  5  3 -10.5  997 102  1.1 0  1.5  86    0    0 180 -257  2
